type,name,path,description
command,bmad-rbtv-mentor,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-mentor.md,Business Innovation - YC mentor guiding startup lifecycle
command,bmad-rbtv-mentor,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-mentor.md,Business Innovation - YC mentor guiding startup lifecycle (Claude)
command,bmad-rbtv-help,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-help.md,Display RBTV commands and deep-dive into any command
command,bmad-rbtv-help,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-help.md,Display RBTV commands and deep-dive into any command (Claude)
command,bmad-rbtv-doc,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-doc.md,Unified documentation generation (compound, handoff, product)
command,bmad-rbtv-doc,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-doc.md,Unified documentation generation (compound, handoff, product) (Claude)
command,bmad-rbtv-git,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-git.md,Git commit workflow with Conventional Commits
command,bmad-rbtv-git,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-git.md,Git commit workflow with Conventional Commits (Claude)
command,bmad-rbtv-create-component,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-create-component.md,BMAD Builder - create components in BMAD architecture
command,bmad-rbtv-create-component,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-create-component.md,BMAD Builder - create components in BMAD architecture (Claude)
command,bmad-rbtv-domcobb,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-domcobb.md,Problem Architect & Prompting Expert - structure problems and craft prompts
command,bmad-rbtv-domcobb,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-domcobb.md,Problem Architect & Prompting Expert - structure problems and craft prompts (Claude)
command,bmad-rbtv-plan,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-plan.md,Plan workflow command - create or execute plans with quality gates
command,bmad-rbtv-plan,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-plan.md,Plan workflow command - create or execute plans with quality gates (Claude)
command,bmad-rbtv-context-search,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-context-search.md,Search referenced files for knowledge relevant to conversation context
command,bmad-rbtv-context-search,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-context-search.md,Search referenced files for knowledge relevant to conversation context (Claude)
command,bmad-rbtv-design-validation,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-design-validation.md,Validate HTML designs using 4-layer framework
command,bmad-rbtv-design-validation,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-design-validation.md,Validate HTML designs using 4-layer framework (Claude)
command,bmad-rbtv-visual-design-extraction,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-visual-design-extraction.md,Extract design tokens from website screenshots
command,bmad-rbtv-visual-design-extraction,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-visual-design-extraction.md,Extract design tokens from website screenshots (Claude)
command,bmad-rbtv-tone-extraction,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-tone-extraction.md,Extract voice signature from text
command,bmad-rbtv-tone-extraction,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-tone-extraction.md,Extract voice signature from text (Claude)
command,bmad-rbtv-mermaid-conversion,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-mermaid-conversion.md,Convert Mermaid diagrams to PNG images
command,bmad-rbtv-mermaid-conversion,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-mermaid-conversion.md,Convert Mermaid diagrams to PNG images (Claude)
command,bmad-rbtv-playwright-browser-automation,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-playwright-browser-automation.md,Navigate websites and capture screenshots using Playwright
command,bmad-rbtv-playwright-browser-automation,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-playwright-browser-automation.md,Navigate websites and capture screenshots using Playwright (Claude)
command,bmad-rbtv-quality-review,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-quality-review.md,Evaluate work against quality criteria
command,bmad-rbtv-quality-review,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-quality-review.md,Evaluate work against quality criteria (Claude)
command,bmad-rbtv-web-research,_bmad/rbtv/.cursor/commands/rbtv/bmad-rbtv-web-research.md,Rigorous web research with source evaluation
command,bmad-rbtv-web-research,_bmad/rbtv/.claude/commands/rbtv/bmad-rbtv-web-research.md,Rigorous web research with source evaluation (Claude)
subagent,judge,_bmad/rbtv/.cursor/agents/rbtv/bmad-rbtv-quality-review.md,Evaluates work against quality criteria - invoke after complex tasks
subagent,web-research,_bmad/rbtv/.cursor/agents/rbtv/bmad-rbtv-web-research.md,Rigorous web research executor with source evaluation - invoke for factual research
subagent,context-search,_bmad/rbtv/.cursor/agents/rbtv/bmad-rbtv-context-search.md,Exhaustive knowledge extractor - searches files deeply and returns complete findings
task,web-research,_bmad/rbtv/tasks/web-research.xml,Apply rigorous research standards for data integrity and source evaluation
task,tone-extraction,_bmad/rbtv/tasks/tone-extraction.xml,Extract voice signature from text across emotional tone structural patterns and vocabulary
task,context-search,_bmad/rbtv/tasks/context-search.xml,Search referenced files for knowledge relevant to conversation context and specific request
task,judge,_bmad/rbtv/tasks/quality-evaluator.xml,Evaluates work against five quality criteria; returns APPROVED or REJECTED verdict
skill,web-research,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-web-research/SKILL.md,Thin loader for web research task - auto-applies during research
skill,visual-design-extraction,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-visual-design-extraction/SKILL.md,Thin loader for visual design extraction workflow - auto-applies during design analysis
skill,tone-extraction,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-tone-extraction/SKILL.md,Thin loader for tone extraction task - auto-applies during voice analysis
skill,design-validation,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-design-validation/SKILL.md,Thin loader for design validation workflow - auto-applies during design QA
skill,playwright-browser-automation,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-playwright-browser-automation/SKILL.md,Thin loader for playwright browser automation workflow - auto-applies during browser automation
skill,mermaid-conversion,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-mermaid-conversion/SKILL.md,Thin loader for mermaid conversion workflow - auto-applies during Mermaid diagram conversion
skill,create-component,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-create-component/SKILL.md,RBTV BMAD Builder - create components in BMAD architecture
skill,doc,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-doc/SKILL.md,RBTV unified documentation generation (compound, handoff, product)
skill,domcobb,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-domcobb/SKILL.md,Problem Architect and Prompting Expert - structure problems and craft prompts
skill,git,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-git/SKILL.md,Git commit workflow with Conventional Commits messages
skill,plan,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-plan/SKILL.md,Create structured plans following BMAD workflow with quality gates
skill,quality-review,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-quality-review/SKILL.md,Evaluate work against quality criteria - invoke after complex tasks
skill,context-search,_bmad/rbtv/.cursor/skills/rbtv/bmad-rbtv-context-search/SKILL.md,Search referenced files for knowledge relevant to conversation context
workflow,visual-extraction,_bmad/rbtv/workflows/design-token-extraction/workflow.md,Extract design tokens from website screenshots (4-step process)
workflow,design-validation,_bmad/rbtv/workflows/design-qa-validation/workflow.md,Validate HTML designs using 4-layer framework (structural hierarchy brand UX)
workflow,playwright-automation,_bmad/rbtv/workflows/browser-web-automation/workflow.md,Navigate websites capture screenshots and interact with pages using Playwright MCP (4-step process)
workflow,mermaid-conversion,_bmad/rbtv/workflows/diagram-mermaid-render/workflow.md,Convert Mermaid diagrams to PNG images using mmdc CLI with visual clarity validation (4-step process)
workflow,plan,_bmad/rbtv/workflows/plan-lifecycle/workflow.md,Create self-executing plans with micro-step task files (4-step create process)
workflow,problem-structuring,_bmad/rbtv/workflows/problem-structuring/workflow.md,Define and structure problems using MECE Pyramid Principle and Problem Trees (4-step process)
workflow,prompting-assistance,_bmad/rbtv/workflows/prompting-assistance/workflow.md,Craft effective prompts using AI model knowledge and prompting techniques (4-step process)
workflow,add-prompting-knowledge,_bmad/rbtv/workflows/add-prompting-knowledge/workflow.md,Route to Builder to create new AI model or prompting technique documentation
workflow,bi-business-innovation,_bmad/rbtv/workflows/bi-business-innovation/workflow.md,Guide users through 6-milestone business innovation lifecycle from idea to MVP
workflow,doc-compound-learning,_bmad/rbtv/workflows/doc-compound-learning/workflow.md,Create backlog PRDs documenting system improvements
workflow,doc-context-handoff,_bmad/rbtv/workflows/doc-context-handoff/workflow.md,Create context transfer summaries for agent continuity
workflow,git-commit,_bmad/rbtv/workflows/git-commit/workflow.md,Execute git operations with Conventional Commits messages
agent,domcobb,_bmad/rbtv/agents/domcobb.md,Problem Architect & Prompting Expert - converts vague needs into structured solutions
agent,mentor,_bmad/rbtv/agents/mentor.md,YC Mentor - guides founders through startup lifecycle milestones
agent,ana,_bmad/rbtv/agents/ana.md,Documentation Orchestrator - compound handoff and product documentation
agent,component-creator,_bmad/rbtv/agents/component-creator.md,BMAD Component Builder - creates agents workflows and tasks
